Isotopo FL      SEGN     FV
F18	36.85	0.62	0.19
P32	0.00	41.63	22.48
I131	10.37	1.34	1.07
Sm153	0.29	2.78	0.88
Lu177	0.32	0.30	0.12
Re188	0.00	43.57	29.32
Si31	-0.48	33.52	15.95
Cu67	1.06	0.17	0.18
Br83	0.28	9.37	3.17
Zr97	106.57	68.66	26.45
Y90	4.11	54.11	41.62

